date,railcar_id,distance_km,fuel_used_l,temperature_c,maintenance_flag
2025-01-06,RC012,174.36,120.13,20.2,0
2025-01-06,RC013,116.69,85.56,37.3,0
2025-01-06,RC014,154.69,96.6,36.9,0
2025-01-06,RC015,160.34,106.34,24.2,0
2025-01-07,RC001,140.42,105.52,20.0,0
2025-01-07,RC002,182.96,130.07,16.2,0
2025-01-07,RC003,139.62,94.16,16.8,0
2025-01-07,RC004,147.5,106.85,39.6,0
2025-01-07,RC005,95.47,69.37,25.3,0
2025-01-07,RC006,61.87,42.29,27.1,0
2025-01-07,RC007,156.48,97.22,16.0,0
2025-01-07,RC008,147.33,94.81,32.1,0
2025-01-07,RC009,118.54,74.83,25.1,0
2025-01-07,RC010,198.66,148.97,39.0,0
2025-01-07,RC011,107.33,72.89,18.3,0
2025-01-07,RC012,162.74,101.55,37.8,0
2025-01-07,RC013,156.81,98.42,24.6,0
2025-01-07,RC014,97.83,67.47,22.2,0
2025-01-07,RC015,167.97,111.86,27.3,0
2025-01-08,RC001,169.13,108.14,34.7,0
2025-01-08,RC002,62.88,39.76,31.3,0
2025-01-08,RC003,180.83,122.49,15.9,0
2025-01-08,RC004,52.66,32.14,34.7,0
2025-01-08,RC005,166.33,132.07,22.8,0
2025-01-08,RC006,67.33,44.86,25.7,0
2025-01-08,RC007,56.8,40.56,34.4,0
2025-01-08,RC008,181.98,127.74,31.3,0
2025-01-08,RC009,133.92,102.92,17.4,0
2025-01-08,RC010,54.64,36.99,15.7,0
2025-01-08,RC011,161.19,101.01,29.5,0
2025-01-08,RC012,97.81,77.34,30.6,0
2025-01-08,RC013,185.8,130.09,21.3,0
2025-01-08,RC014,138.45,91.97,15.8,0
2025-01-08,RC015,199.65,143.5,23.5,0
2025-01-09,RC001,96.65,67.31,18.8,0
2025-01-09,RC002,175.64,132.35,32.1,0
2025-01-09,RC003,66.57,50.5,35.8,0
2025-01-09,RC004,98.61,67.24,38.4,0
2025-01-09,RC005,90.54,66.06,20.8,0
2025-01-09,RC006,134.02,93.26,36.4,0
2025-01-09,RC007,135.17,96.7,34.7,0
2025-01-09,RC008,122.85,79.61,36.3,0
2025-01-09,RC009,80.57,53.82,30.3,0
2025-01-09,RC010,53.74,37.66,28.9,0
2025-01-09,RC011,78.72,58.42,34.2,0
2025-01-09,RC012,89.22,66.48,30.6,0
2025-01-09,RC013,125.51,84.17,28.1,0
2025-01-09,RC014,56.81,37.42,31.9,0
2025-01-09,RC015,75.71,53.68,28.3,0
2025-01-10,RC001,65.45,47.45,38.0,0
2025-01-10,RC002,197.4,133.89,18.8,0
2025-01-10,RC003,51.45,38.09,23.5,0
2025-01-10,RC004,99.86,69.28,21.3,0
2025-01-10,RC005,58.36,36.15,32.0,0
2025-01-10,RC006,122.08,78.25,23.2,0
2025-01-10,RC007,185.36,111.82,31.3,0
2025-01-10,RC008,104.22,63.68,39.2,0
2025-01-10,RC009,156.45,121.72,28.0,0
2025-01-10,RC010,162.84,123.92,32.3,0
2025-01-10,RC011,163.45,103.32,22.0,0
2025-01-10,RC012,84.93,62.95,26.5,0
2025-01-10,RC013,156.74,104.97,17.4,0
2025-01-10,RC014,97.38,66.68,32.8,0
2025-01-10,RC015,156.59,95.4,21.8,0
2025-01-11,RC001,83.55,66.69,32.7,0
2025-01-11,RC002,121.14,84.96,30.1,0
2025-01-11,RC003,110.52,83.3,26.0,0
2025-01-11,RC004,62.21,42.85,36.1,0
2025-01-11,RC005,60.11,41.93,16.4,0
2025-01-11,RC006,199.96,156.54,27.7,0
2025-01-11,RC007,124.56,90.26,23.1,0
2025-01-11,RC008,120.1,78.49,23.8,0
2025-01-11,RC009,160.45,108.67,34.5,0
2025-01-11,RC010,182.0,139.67,31.8,0
2025-01-11,RC011,95.9,58.51,28.4,0
2025-01-11,RC012,93.59,59.68,38.3,0
2025-01-11,RC013,175.04,123.71,35.8,0
2025-01-11,RC014,184.84,120.67,23.7,0
2025-01-11,RC015,168.35,124.35,16.5,0
2025-01-12,RC001,82.03,60.6,36.9,0
2025-01-12,RC002,101.61,72.29,31.3,0
2025-01-12,RC003,117.16,88.18,18.7,0
2025-01-12,RC004,194.45,144.14,24.9,0
2025-01-12,RC005,156.73,94.85,39.5,0
2025-01-12,RC006,51.34,36.2,19.6,0
2025-01-12,RC007,148.45,93.61,23.3,0
2025-01-12,RC008,140.75,104.33,34.1,0
2025-01-12,RC009,182.99,138.73,15.6,0
2025-01-12,RC010,187.3,141.45,28.5,0
2025-01-12,RC011,189.83,128.87,31.6,0
2025-01-12,RC012,104.89,67.21,32.7,0
2025-01-12,RC013,163.68,99.55,21.2,0
2025-01-12,RC014,113.06,87.73,36.2,0
2025-01-12,RC015,189.58,128.6,35.5,0
2025-01-13,RC001,170.78,118.06,25.0,0
2025-01-13,RC002,139.18,90.75,31.4,0
2025-01-13,RC003,70.45,45.59,24.0,0
2025-01-13,RC004,187.17,136.87,36.7,0
2025-01-13,RC005,52.16,38.72,21.8,0
2025-01-13,RC006,84.29,63.28,38.4,0
2025-01-13,RC007,151.03,108.27,24.3,0
2025-01-13,RC008,84.44,50.99,16.9,0
2025-01-13,RC009,165.28,115.57,28.2,0
2025-01-13,RC010,157.67,117.4,26.1,0
2025-01-13,RC011,81.81,55.68,29.0,0
2025-01-13,RC012,116.5,89.26,39.6,0
2025-01-13,RC013,104.05,77.79,30.5,0
2025-01-13,RC014,76.48,49.03,35.7,0
2025-01-13,RC015,138.54,93.66,34.2,0
2025-01-14,RC001,100.16,68.22,24.9,1
2025-01-14,RC002,115.75,81.55,28.0,0
2025-01-14,RC003,124.72,96.28,25.4,0
2025-01-14,RC004,68.51,54.05,20.5,0
2025-01-14,RC005,92.64,67.95,37.4,0
2025-01-14,RC006,191.72,125.69,26.1,0
2025-01-14,RC007,97.54,75.49,24.4,0
2025-01-14,RC008,75.88,47.22,35.2,0
2025-01-14,RC009,93.29,65.74,30.0,0
2025-01-14,RC010,58.05,40.34,30.2,0
2025-01-14,RC011,76.12,56.83,29.1,0
2025-01-14,RC012,92.39,71.91,23.9,0
2025-01-14,RC013,90.82,61.64,19.6,0
2025-01-14,RC014,61.88,49.28,19.3,0
2025-01-14,RC015,73.9,46.37,20.3,0
2025-01-15,RC001,151.81,92.46,19.0,0
2025-01-15,RC002,60.73,48.43,38.6,0
2025-01-15,RC003,181.26,119.08,16.0,0
2025-01-15,RC004,63.16,38.93,29.7,0
2025-01-15,RC005,77.43,54.13,37.7,0
2025-01-15,RC006,63.98,42.81,21.2,0
2025-01-15,RC007,75.83,46.13,39.1,0
2025-01-15,RC008,107.94,71.52,18.7,0
2025-01-15,RC009,58.04,36.68,38.8,0
2025-01-15,RC010,186.55,143.78,26.4,0
2025-01-15,RC011,81.21,64.47,29.5,0
2025-01-15,RC012,55.09,34.19,31.0,0
2025-01-15,RC013,116.15,72.54,24.1,0
2025-01-15,RC014,94.75,71.68,28.2,0
2025-01-15,RC015,188.92,131.85,16.7,0
2025-01-16,RC001,138.06,87.31,36.0,0
2025-01-16,RC002,56.32,43.07,39.7,0
2025-01-16,RC003,51.34,33.21,33.7,0
2025-01-16,RC004,172.05,136.74,32.6,0
2025-01-16,RC005,94.7,69.52,32.1,0
2025-01-16,RC006,97.25,61.14,25.5,0
2025-01-16,RC007,134.08,80.49,34.8,0
2025-01-16,RC008,197.97,138.01,38.1,0
2025-01-16,RC009,156.12,122.26,30.6,0
2025-01-16,RC010,74.4,49.96,30.5,0
2025-01-16,RC011,178.0,140.88,32.2,0
2025-01-16,RC012,106.96,85.32,26.8,0
2025-01-16,RC013,128.95,97.64,39.7,0
2025-01-16,RC014,109.42,82.06,27.7,0
2025-01-16,RC015,179.86,128.03,37.5,0
2025-01-17,RC001,95.78,60.31,30.9,0
2025-01-17,RC002,166.4,122.66,22.8,0
2025-01-17,RC003,98.14,62.27,18.5,0
2025-01-17,RC004,167.02,116.58,19.6,0
2025-01-17,RC005,57.56,44.01,35.0,0
2025-01-17,RC006,68.8,53.49,32.2,0
2025-01-17,RC007,196.33,132.72,39.8,0
2025-01-17,RC008,106.14,65.04,16.1,0
2025-01-17,RC009,197.68,119.03,15.2,0
2025-01-17,RC010,53.98,40.75,39.2,0
2025-01-17,RC011,55.7,43.46,25.2,0
2025-01-17,RC012,141.45,108.82,31.3,0
2025-01-17,RC013,70.42,45.65,36.3,0
2025-01-17,RC014,75.84,59.49,21.5,0
2025-01-17,RC015,100.64,80.33,20.4,0
2025-01-18,RC001,126.36,75.84,15.0,0
2025-01-18,RC002,80.46,51.21,36.7,0
2025-01-18,RC003,129.33,80.37,27.3,0
2025-01-18,RC004,145.81,88.12,24.9,0
2025-01-18,RC005,50.88,36.89,37.4,0
2025-01-18,RC006,165.85,118.04,28.9,0
2025-01-18,RC007,119.46,74.26,32.7,0
2025-01-18,RC008,164.27,101.25,27.2,0
2025-01-18,RC009,102.07,74.64,39.7,0
2025-01-18,RC010,63.24,46.43,23.4,0
2025-01-18,RC011,167.77,114.11,16.4,0
2025-01-18,RC012,145.62,106.49,26.4,0
2025-01-18,RC013,192.79,128.49,21.5,0
2025-01-18,RC014,124.72,80.78,35.0,0
2025-01-18,RC015,112.86,70.7,25.1,0
2025-01-19,RC001,82.54,60.6,32.7,0
2025-01-19,RC002,154.69,110.39,20.4,0
2025-01-19,RC003,53.82,40.67,15.2,0
2025-01-19,RC004,118.27,74.37,18.0,0
2025-01-19,RC005,113.57,74.36,33.7,0
2025-01-19,RC006,60.04,39.6,38.5,0
2025-01-19,RC007,175.19,118.8,16.7,0
2025-01-19,RC008,188.02,143.17,33.7,0
2025-01-19,RC009,167.6,117.25,24.9,0
2025-01-19,RC010,100.19,65.54,32.4,0
2025-01-19,RC011,109.55,81.52,17.4,0
2025-01-19,RC012,137.27,96.32,19.1,0
2025-01-19,RC013,178.1,126.42,37.7,0
2025-01-19,RC014,150.46,108.95,39.6,0
2025-01-19,RC015,111.79,88.05,34.0,0
2025-01-20,RC001,52.9,33.43,27.4,0
2025-01-20,RC002,89.69,65.98,31.5,0
2025-01-20,RC003,73.32,55.48,37.6,0
2025-01-20,RC004,194.6,152.1,20.8,0
2025-01-20,RC005,67.03,52.27,21.8,0
2025-01-20,RC006,151.09,96.7,19.0,0
2025-01-20,RC007,97.02,70.7,37.2,0
2025-01-20,RC008,95.77,58.25,16.7,0
2025-01-20,RC009,60.97,36.62,22.8,0
2025-01-20,RC010,175.43,116.18,30.0,1
2025-01-20,RC011,169.05,110.77,16.6,0
2025-01-20,RC012,85.65,62.95,32.8,0
2025-01-20,RC013,135.09,99.29,31.2,0
2025-01-20,RC014,52.34,35.73,17.3,0
2025-01-20,RC015,188.23,126.34,36.7,0
2025-01-21,RC001,104.47,65.98,18.9,0
2025-01-21,RC002,96.59,61.61,24.3,0
2025-01-21,RC003,175.75,118.39,34.2,0
2025-01-21,RC004,84.41,63.48,34.3,0
2025-01-21,RC005,113.01,86.9,19.9,0
2025-01-21,RC006,179.28,125.65,32.1,0
2025-01-21,RC007,96.13,61.7,24.9,0
2025-01-21,RC008,71.09,54.53,20.7,0
2025-01-21,RC009,78.89,58.09,28.6,0
2025-01-21,RC010,167.96,129.51,37.3,0
2025-01-21,RC011,61.98,40.02,29.8,0
2025-01-21,RC012,168.96,112.33,21.9,0
2025-01-21,RC013,167.27,118.7,18.4,0
2025-01-21,RC014,52.46,32.85,36.3,0
2025-01-21,RC015,119.57,84.05,27.0,0
2025-01-22,RC001,108.49,84.03,19.6,0
2025-01-22,RC002,85.06,64.76,28.0,0
2025-01-22,RC003,191.25,120.31,23.6,0
2025-01-22,RC004,168.64,131.93,16.8,0
2025-01-22,RC005,159.66,110.35,35.6,0
2025-01-22,RC006,163.53,130.16,27.9,0
2025-01-22,RC007,93.07,69.38,21.6,0
2025-01-22,RC008,146.73,114.4,28.6,0
2025-01-22,RC009,160.0,116.46,25.6,0
2025-01-22,RC010,129.64,82.11,25.5,0
2025-01-22,RC011,61.18,45.03,15.3,0
2025-01-22,RC012,185.55,128.15,39.7,0
2025-01-22,RC013,105.16,83.9,24.6,0
2025-01-22,RC014,59.17,43.9,19.4,0
2025-01-22,RC015,143.98,114.35,34.6,0
2025-01-23,RC001,101.35,65.79,33.2,0
2025-01-23,RC002,132.62,101.59,34.9,0
2025-01-23,RC003,112.66,89.95,22.5,0
2025-01-23,RC004,176.92,123.55,32.3,0
2025-01-23,RC005,151.11,104.33,21.9,0
2025-01-23,RC006,130.64,81.96,23.9,0
2025-01-23,RC007,75.22,46.39,20.3,0
2025-01-23,RC008,149.42,108.89,21.9,0
2025-01-23,RC009,118.9,72.26,28.3,0
2025-01-23,RC010,72.31,49.66,39.8,0
2025-01-23,RC011,148.47,110.83,23.0,0
2025-01-23,RC012,94.66,71.64,23.9,0
2025-01-23,RC013,76.86,60.68,21.1,0
2025-01-23,RC014,138.25,88.06,30.7,0
2025-01-23,RC015,158.44,99.13,32.6,0
2025-01-24,RC001,186.33,143.66,15.3,0
2025-01-24,RC002,174.01,106.98,28.0,0
2025-01-24,RC003,153.31,101.23,35.2,0
2025-01-24,RC004,190.55,122.89,25.5,0
2025-01-24,RC005,125.34,75.93,23.7,0
2025-01-24,RC006,111.23,67.29,28.7,0
2025-01-24,RC007,108.12,79.19,21.5,0
2025-01-24,RC008,183.68,121.2,22.6,0
2025-01-24,RC009,91.5,72.84,30.6,0
2025-01-24,RC010,119.57,79.77,30.1,0
2025-01-24,RC011,52.74,38.23,26.1,0
2025-01-24,RC012,128.78,91.34,29.2,0
2025-01-24,RC013,175.14,116.91,27.2,0
2025-01-24,RC014,59.2,44.49,20.5,0
2025-01-24,RC015,139.65,101.1,33.1,0
2025-01-25,RC001,129.95,80.91,29.7,0
2025-01-25,RC002,188.47,148.92,37.2,0
2025-01-25,RC003,120.93,88.3,22.2,0
2025-01-25,RC004,60.08,37.02,30.8,0
2025-01-25,RC005,108.23,69.07,28.2,0
2025-01-25,RC006,113.53,88.39,37.0,0
2025-01-25,RC007,138.34,109.94,26.1,0
2025-01-25,RC008,170.49,124.45,22.4,0
2025-01-25,RC009,162.55,126.31,25.1,0
2025-01-25,RC010,159.51,101.55,26.7,0
2025-01-25,RC011,71.8,55.27,36.4,0
2025-01-25,RC012,188.03,119.28,17.0,0
2025-01-25,RC013,195.31,125.53,15.0,0
2025-01-25,RC014,52.33,36.67,22.1,1
2025-01-25,RC015,56.92,44.39,37.1,0
2025-01-26,RC001,161.47,126.2,38.1,0
2025-01-26,RC002,90.32,63.46,36.2,0
2025-01-26,RC003,147.12,88.38,28.7,0
2025-01-26,RC004,123.74,97.54,21.3,0
2025-01-26,RC005,121.81,91.5,25.2,0
2025-01-26,RC006,120.76,96.44,29.0,0
2025-01-26,RC007,130.95,92.42,30.7,0
2025-01-26,RC008,54.19,37.3,34.2,0
2025-01-26,RC009,124.42,84.97,27.1,0
2025-01-26,RC010,111.02,67.04,17.6,0
2025-01-26,RC011,116.22,72.38,32.0,0
2025-01-26,RC012,68.82,50.28,20.8,0
2025-01-26,RC013,117.91,80.3,21.6,0
2025-01-26,RC014,123.75,75.91,34.4,0
2025-01-26,RC015,195.03,151.95,30.0,0
2025-01-27,RC001,152.36,108.77,33.0,0
2025-01-27,RC002,109.04,79.03,24.7,0
2025-01-27,RC003,69.18,51.51,26.1,0
2025-01-27,RC004,123.47,95.79,31.4,0
2025-01-27,RC005,99.37,74.17,35.7,0
2025-01-27,RC006,162.61,126.16,33.8,0
2025-01-27,RC007,73.33,47.63,18.8,0
2025-01-27,RC008,153.76,107.52,28.0,0
2025-01-27,RC009,142.27,105.76,32.0,0
2025-01-27,RC010,175.08,111.01,22.1,0
2025-01-27,RC011,134.37,88.35,31.7,0
2025-01-27,RC012,126.57,79.11,22.9,0
2025-01-27,RC013,87.16,64.98,22.6,0
2025-01-27,RC014,198.25,130.78,30.3,0
2025-01-27,RC015,149.32,112.45,31.4,0
2025-01-28,RC001,174.77,105.12,17.5,1
2025-01-28,RC002,162.02,98.08,19.7,0
2025-01-28,RC003,115.96,73.55,15.2,0
2025-01-28,RC004,136.44,81.9,34.5,0
2025-01-28,RC005,162.23,110.56,23.1,0
2025-01-28,RC006,108.32,86.44,37.7,0
2025-01-28,RC007,51.08,38.96,17.1,0
2025-01-28,RC008,186.67,115.34,25.5,0
2025-01-28,RC009,164.15,124.12,24.9,0
2025-01-28,RC010,169.39,128.86,35.0,0
2025-01-28,RC011,68.72,54.73,24.2,0
2025-01-28,RC012,80.22,61.47,35.1,0
2025-01-28,RC013,52.32,41.0,33.5,0
2025-01-28,RC014,147.02,96.36,32.4,0
2025-01-28,RC015,154.86,102.61,38.4,0
2025-01-29,RC001,81.9,55.64,29.9,0
2025-01-29,RC002,80.36,63.63,37.4,0
2025-01-29,RC003,170.41,106.9,16.9,0
2025-01-29,RC004,126.85,79.05,16.4,0
2025-01-29,RC005,196.16,126.14,24.8,0
2025-01-29,RC006,157.34,117.36,39.4,0
2025-01-29,RC007,104.89,66.13,39.6,1
2025-01-29,RC008,188.46,134.88,22.3,0
2025-01-29,RC009,113.59,70.01,22.5,0
2025-01-29,RC010,177.84,110.75,31.7,0
2025-01-29,RC011,82.38,59.78,20.6,0
2025-01-29,RC012,198.07,148.65,29.9,1
2025-01-29,RC013,199.98,147.77,27.3,0
2025-01-29,RC014,116.2,72.95,15.3,0
2025-01-29,RC015,155.21,108.57,33.2,0
2025-01-30,RC001,77.19,54.05,21.0,0
2025-01-30,RC002,60.52,38.1,29.8,0
2025-01-30,RC003,192.21,149.32,32.2,0
2025-01-30,RC004,72.38,52.95,24.6,0
2025-01-30,RC005,100.12,80.03,30.8,0
2025-01-30,RC006,120.71,87.56,26.3,0
2025-01-30,RC007,120.26,87.22,33.4,0
2025-01-30,RC008,167.9,125.08,17.2,0
2025-01-30,RC009,85.89,55.67,20.5,0
2025-01-30,RC010,125.3,94.36,25.6,0
2025-01-30,RC011,166.8,130.42,21.4,0
2025-01-30,RC012,64.6,46.9,21.5,0
2025-01-30,RC013,51.53,40.43,38.0,0
2025-01-30,RC014,165.9,120.77,31.4,0
2025-01-30,RC015,100.85,78.18,31.8,0
2025-01-31,RC001,52.46,41.34,31.5,0
2025-01-31,RC002,89.41,62.47,24.4,0
2025-01-31,RC003,65.93,46.0,17.2,0
2025-01-31,RC004,86.23,64.31,16.2,0
2025-01-31,RC005,105.25,70.31,34.2,0
2025-01-31,RC006,127.96,102.25,37.3,0
2025-01-31,RC007,65.12,50.78,15.0,0
2025-01-31,RC008,144.18,87.55,21.8,0
2025-01-31,RC009,185.73,142.62,16.8,0
2025-01-31,RC010,89.01,69.0,21.3,0
2025-01-31,RC011,113.24,74.89,17.0,0
2025-01-31,RC012,56.99,44.3,39.8,0
2025-01-31,RC013,53.35,40.92,37.2,0
2025-01-31,RC014,113.41,74.81,37.4,0
2025-01-31,RC015,117.6,90.17,38.5,0
2025-02-01,RC001,151.2,105.62,25.8,0
2025-02-01,RC002,106.11,77.66,23.2,0
2025-02-01,RC003,122.26,90.64,28.0,0
2025-02-01,RC004,54.78,34.12,22.8,0
2025-02-01,RC005,193.92,127.75,16.6,0
2025-02-01,RC006,57.9,35.27,38.6,0
2025-02-01,RC007,130.37,97.1,15.1,0
2025-02-01,RC008,145.52,110.92,29.2,0
2025-02-01,RC009,187.25,141.96,17.1,0
2025-02-01,RC010,119.99,87.52,24.4,0
2025-02-01,RC011,167.22,108.39,23.7,0
2025-02-01,RC012,94.49,60.26,17.3,0
2025-02-01,RC013,183.79,115.77,36.4,0
2025-02-01,RC014,94.59,66.14,30.7,0
2025-02-01,RC015,156.14,117.79,24.1,0
2025-02-02,RC001,133.22,82.46,21.8,0
2025-02-02,RC002,160.84,116.89,38.2,0
2025-02-02,RC003,159.86,111.94,27.2,0
2025-02-02,RC004,72.01,45.69,20.6,0
2025-02-02,RC005,196.97,134.92,22.9,0
2025-02-02,RC006,161.58,121.96,23.2,0
2025-02-02,RC007,82.14,65.18,20.8,0
2025-02-02,RC008,94.6,68.11,25.8,0
2025-02-02,RC009,170.17,116.03,20.0,0
2025-02-02,RC010,91.55,62.56,19.3,0
2025-02-02,RC011,148.13,107.74,39.6,0
2025-02-02,RC012,51.39,39.74,31.4,0
2025-02-02,RC013,71.81,53.38,31.6,0
2025-02-02,RC014,195.84,127.61,24.6,0
2025-02-02,RC015,62.5,46.46,22.4,0
2025-02-03,RC001,157.94,111.2,15.7,0
2025-02-03,RC002,97.56,74.65,26.6,0
2025-02-03,RC003,154.96,119.33,38.4,0
2025-02-03,RC004,129.54,90.71,20.0,0
2025-02-03,RC005,149.75,105.84,27.9,1
2025-02-03,RC006,110.46,80.14,32.2,0
2025-02-03,RC007,66.59,41.03,21.8,0
2025-02-03,RC008,78.77,58.95,23.4,0
2025-02-03,RC009,52.11,40.84,30.2,0
2025-02-03,RC010,166.27,108.6,23.0,0
2025-02-03,RC011,169.12,126.37,34.0,0
2025-02-03,RC012,170.77,112.3,23.2,0
2025-02-03,RC013,51.01,37.78,28.6,0
2025-02-03,RC014,72.64,56.6,38.9,0
2025-02-03,RC015,197.41,138.29,26.1,0
2025-02-04,RC001,170.39,115.23,17.4,0
2025-02-04,RC002,83.98,50.93,34.4,0
2025-02-04,RC003,190.38,115.26,39.5,0
2025-02-04,RC004,135.0,83.23,29.2,0
2025-02-04,RC005,89.59,61.5,36.2,0
2025-02-04,RC006,112.98,89.46,15.3,0
2025-02-04,RC007,78.89,59.17,25.9,0
2025-02-04,RC008,153.69,118.33,25.2,0
2025-02-04,RC009,69.74,43.8,34.5,0
2025-02-04,RC010,114.23,78.77,38.7,0
2025-02-04,RC011,120.34,92.77,25.9,0
2025-02-04,RC012,104.92,68.89,37.0,0
2025-02-04,RC013,87.09,54.76,35.8,0
2025-02-04,RC014,59.73,46.9,34.7,0
2025-02-04,RC015,97.18,60.93,32.6,0
2025-02-05,RC001,133.86,102.25,22.3,0
2025-02-05,RC002,91.45,68.33,29.7,0
2025-02-05,RC003,103.61,71.66,32.9,0
2025-02-05,RC004,176.29,109.2,33.5,0
2025-02-05,RC005,79.37,58.75,25.2,0
2025-02-05,RC006,175.55,122.2,34.3,0
2025-02-05,RC007,179.04,136.46,20.3,0
2025-02-05,RC008,175.51,111.11,35.7,0
2025-02-05,RC009,81.46,55.35,19.8,0
2025-02-05,RC010,92.39,61.03,38.3,0
2025-02-05,RC011,75.3,55.27,36.3,0
2025-02-05,RC012,158.72,97.75,35.5,0
2025-02-05,RC013,118.16,74.31,39.0,0
2025-02-05,RC014,79.56,59.21,21.1,0
2025-02-05,RC015,115.52,84.85,16.0,0
2025-02-06,RC001,180.33,116.7,24.0,0
2025-02-06,RC002,129.02,92.01,28.1,0
2025-02-06,RC003,60.56,40.89,16.4,0
2025-02-06,RC004,190.98,148.06,17.7,0
2025-02-06,RC005,151.62,116.53,24.8,0
2025-02-06,RC006,112.73,68.41,16.1,0
2025-02-06,RC007,147.52,93.85,20.8,0
2025-02-06,RC008,192.71,138.94,34.1,0
2025-02-06,RC009,166.09,106.41,34.8,0
2025-02-06,RC010,176.77,141.07,38.3,0
2025-02-06,RC011,51.95,36.74,20.2,0
2025-02-06,RC012,147.14,88.7,15.6,1
2025-02-06,RC013,68.96,53.08,39.7,0
2025-02-06,RC014,161.55,105.67,29.2,0
2025-02-06,RC015,100.59,68.12,31.3,0
2025-02-07,RC001,198.61,133.2,26.1,0
2025-02-07,RC002,89.85,67.5,29.4,0
